start,end,type,measure,start_beat,duration,track,TS,measure_score,start_midi,end_midi
-1,4,a,0,1,5,1,2/4,0,1,6
4,8,a,3,0,4,0,2/4,3,6,10
15,20,a,8,1,5,0,2/4,8,17,22
20,25,a,11,0,5,0,2/4,11,22,27
29,34,c,15,1,5,1,2/4,15,31,36
33,38,c,17,1,5,0,2/4,17,35,40
37,41,c,19,1,4,1,2/4,19,39,43
40,42,d,21,0,2,0,2/4,21,42,44
42,44,d,22,0,2,0,2/4,22,44,46
44,46,b,23,0,2,0,2/4,23,46,48
46,48,b,24,0,2,0,2/4,24,48,50
48,50,d,25,0,2,0,2/4,25,50,52
50,52,b,26,0,2,0,2/4,26,52,54
52,54,b,27,0,2,0,2/4,27,54,56
54,57,b,28,0,3,0,2/4,28,56,59
56,58,b,29,0,2,1,2/4,29,58,60
57,61,c,29,1,4,0,2/4,29,59,63
60,62,b,31,0,2,1,2/4,31,62,64
61,66,c,31,1,5,0,2/4,31,63,68
65,70,a,34,-1,5,1,2/4,1,67,72
70,74,a,36,0,4,0,2/4,3,72,76
81,86,a,41,1,5,0,2/4,8,83,88
86,91,a,44,0,5,0,2/4,11,88,93
95,100,c,48,1,5,1,2/4,15,97,102
99,104,c,50,1,5,0,2/4,17,101,106
103,107,c,52,1,4,1,2/4,19,105,109
106,108,d,54,0,2,0,2/4,21,108,110
108,110,d,55,0,2,0,2/4,22,110,112
110,112,b,56,0,2,0,2/4,23,112,114
112,114,b,57,0,2,0,2/4,24,114,116
114,116,d,58,0,2,0,2/4,25,116,118
116,118,b,59,0,2,0,2/4,26,118,120
118,120,b,60,0,2,0,2/4,27,120,122
120,123,b,61,0,3,0,2/4,28,122,125
122,124,b,62,0,2,1,2/4,29,124,126
123,127,c,62,1,4,0,2/4,29,125,129
126,128,b,64,0,2,1,2/4,31,128,130
127,132,c,64,1,5,0,2/4,31,129,134
131,134,c,66,1,3,1,2/4,33,133,136
133,136,c,67,1,3,0,2/4,34,135,138
141,143,e,71,1,2,0,2/4,38,143,145
143,145,e,72,1,2,0,2/4,39,145,147
144,149,e,73,0,5,1,2/4,40,146,151
149,151,e,75,1,2,0,2/4,42,151,153
151,153,e,76,1,2,0,2/4,43,153,155
153,157,e,77,1,4,0,2/4,44,155,159
156,158,b,79,0,2,1,2/4,46,158,160
157,161,c,79,1,4,0,2/4,46,159,163
160,162,b,81,0,2,1,2/4,48,162,164
161,165,c,81,1,4,0,2/4,48,163,167
164,166,b,83,0,2,1,2/4,50,166,168
165,170,c,83,1,5,0,2/4,50,167,172
173,175,e,87,1,2,0,2/4,54,175,177
175,177,e,88,1,2,0,2/4,55,177,179
177,179,e,89,1,2,0,2/4,56,179,181
179,181,e,90,1,2,0,2/4,57,181,183
180,184,h,91,0,4,1,2/4,58,182,186
184,188,h,93,0,4,0,2/4,60,186,190
188,192,h,95,0,4,0,2/4,62,190,194
192,196,a,97,0,4,0,2/4,64,194,198
196,200,a,99,0,4,0,2/4,66,198,202
207,212,a,104,1,5,0,2/4,71,209,214
210,212,b,106,0,2,1,2/4,73,212,214
212,216,a,107,0,4,0,2/4,74,214,218
214,216,b,108,0,2,1,2/4,75,216,218
220,224,b,111,0,4,1,2/4,78,222,226
223,228,c,112,1,5,0,2/4,79,225,230
227,232,c,114,1,5,1,2/4,81,229,234
231,236,c,116,1,5,0,2/4,83,233,238
234,236,d,118,0,2,1,2/4,85,236,238
236,238,d,119,0,2,0,2/4,86,238,240
238,240,d,120,0,2,0,2/4,87,240,242
240,242,d,121,0,2,0,2/4,88,242,244
242,244,d,122,0,2,0,2/4,89,244,246
244,247,d,123,0,3,0,2/4,90,246,249
250,254,f,126,0,4,0,2/4,93,252,256
254,259,f,128,0,5,0,2/4,95,256,261
259,263,c,130,1,4,1,2/4,97,261,265
263,267,c,132,1,4,0,2/4,99,265,269
267,272,c,134,1,5,1,2/4,101,269,274
