-0.5,62,61,0.5,0,0,a
0.0,70,66,0.5,0,1,a
0.5,58,59,0.5,1,1,
0.5,62,61,0.5,1,1,
0.5,67,64,0.5,0,1,a
1.0,57,58,0.5,1,1,
1.0,60,60,0.5,1,1,
1.0,66,63,0.5,0,1,a
1.5,55,57,0.5,1,1,
1.5,58,59,0.5,1,1,
1.5,67,64,0.5,0,1,a
2.0,54,56,0.5,1,2,
2.0,57,58,0.5,1,2,
2.0,62,61,2.0,0,2,
2.0,72,67,2.0,0,2,a
2.5,50,54,0.5,1,2,
2.5,54,56,0.5,1,2,
3.0,52,55,0.5,1,2,
3.0,55,57,0.5,1,2,
3.5,54,56,0.5,1,2,
3.5,57,58,0.5,1,2,
4.0,55,57,0.5,1,3,
4.0,58,59,0.5,1,3,
4.0,70,66,0.5,0,3,a
4.5,58,59,0.5,1,3,
4.5,62,61,0.5,1,3,
4.5,67,64,0.5,0,3,a
5.0,57,58,0.5,1,3,
5.0,60,60,0.5,1,3,
5.0,66,63,0.5,0,3,a
5.5,55,57,0.5,1,3,
5.5,58,59,0.5,1,3,
5.5,67,64,0.5,0,3,a
6.0,48,53,0.5,1,4,
6.0,67,64,2.0,0,4,
6.0,75,69,2.0,0,4,a
6.5,51,55,0.5,1,4,
7.0,55,57,0.5,1,4,
7.5,60,60,0.5,1,4,
8.0,58,59,1.0,1,5,
8.0,74,68,0.5,0,5,
8.5,78,70,0.5,0,5,
9.0,79,71,0.5,0,5,
9.5,58,59,0.5,1,5,
9.5,62,61,0.5,1,5,
9.5,74,68,0.5,0,5,
10.0,54,56,1.0,1,6,
10.0,62,61,1.0,1,6,
10.0,72,67,0.5,0,6,
10.5,80,71,0.5,0,6,
11.0,81,72,0.5,0,6,
11.5,54,56,0.5,1,6,
11.5,62,61,0.5,1,6,
11.5,72,67,0.5,0,6,
12.0,55,57,1.0,1,7,
12.0,62,61,1.0,1,7,
12.0,70,66,0.5,0,7,
12.5,79,71,0.5,0,7,
13.0,48,53,1.0,1,7,
13.0,60,60,1.0,1,7,
13.0,69,65,0.5,0,7,
13.5,75,69,0.5,0,7,
14.0,50,54,1.5,1,8,
14.0,58,59,1.0,1,8,
14.0,67,64,0.75,0,8,
14.75,69,65,0.125,0,8,
14.875,67,64,0.125,0,8,
15.0,66,63,0.5,0,8,
15.5,62,61,0.5,0,8,a
16.0,70,66,0.5,0,9,a
16.5,58,59,0.5,1,9,
16.5,62,61,0.5,1,9,
16.5,67,64,0.5,0,9,a
17.0,57,58,0.5,1,9,
17.0,60,60,0.5,1,9,
17.0,66,63,0.5,0,9,a
17.5,55,57,0.5,1,9,
17.5,58,59,0.5,1,9,
17.5,67,64,0.5,0,9,a
18.0,54,56,0.5,1,10,
18.0,57,58,0.5,1,10,
18.0,62,61,2.0,0,10,
18.0,72,67,2.0,0,10,a
18.5,50,54,0.5,1,10,
18.5,54,56,0.5,1,10,
19.0,52,55,0.5,1,10,
19.0,55,57,0.5,1,10,
19.5,54,56,0.5,1,10,
19.5,57,58,0.5,1,10,
20.0,55,57,0.5,1,11,
20.0,58,59,0.5,1,11,
20.0,70,66,0.5,0,11,a
20.5,58,59,0.5,1,11,
20.5,62,61,0.5,1,11,
20.5,67,64,0.5,0,11,a
21.0,57,58,0.5,1,11,
21.0,60,60,0.5,1,11,
21.0,66,63,0.5,0,11,a
21.5,55,57,0.5,1,11,
21.5,58,59,0.5,1,11,
21.5,67,64,0.5,0,11,a
22.0,48,53,0.5,1,12,
22.0,48,53,1.5,1,12,
22.0,75,69,1.5,0,12,a
22.5,51,55,0.5,1,12,
23.0,55,57,0.5,1,12,
23.5,48,53,0.5,1,12,
23.5,57,58,0.5,1,12,
23.5,75,69,0.75,0,12,a
24.0,50,54,1.0,1,13,
24.0,58,59,1.0,1,13,
24.25,74,68,0.25,0,13,
24.5,77,70,0.25,0,13,
24.75,76,69,0.25,0,13,
25.0,79,71,0.25,0,13,
25.25,77,70,0.25,0,13,
25.5,50,54,0.5,1,13,
25.5,53,56,0.5,1,13,
25.5,75,69,0.25,0,13,
25.75,74,68,0.25,0,13,
26.0,51,55,1.0,1,14,
26.0,55,57,0.5,1,14,
26.0,72,67,0.0,0,14,
26.0,74,68,0.0,0,14,
26.0,74,68,0.5,0,14,
26.0,75,69,0.0,0,14,
26.5,60,60,0.5,1,14,
26.5,72,67,0.5,0,14,
27.0,52,55,1.0,1,14,
27.0,55,57,0.5,1,14,
27.0,71,66,0.0,0,14,
27.0,72,67,0.0,0,14,
27.0,72,67,0.5,0,14,
27.0,74,68,0.0,0,14,
27.5,60,60,0.5,1,14,
27.5,70,66,0.5,0,14,
28.0,53,56,1.0,1,15,
28.0,60,60,1.0,1,15,
28.0,69,65,0.0,0,15,
28.0,70,66,0.0,0,15,
28.0,70,66,0.25,0,15,
28.0,72,67,0.0,0,15,
28.25,69,65,0.25,0,15,
28.5,67,64,0.25,0,15,
28.75,65,63,0.25,0,15,
29.0,64,62,0.25,0,15,
29.25,65,63,0.25,0,15,
29.5,67,64,0.25,0,15,
29.75,65,63,0.25,0,15,c
30.0,57,58,0.25,1,16,
30.0,75,69,0.5,0,16,c
30.25,65,63,0.25,1,16,
30.5,60,60,0.25,1,16,
30.5,69,65,0.5,0,16,c
30.75,65,63,0.25,1,16,
31.0,63,62,0.25,1,16,
31.0,69,65,0.5,0,16,c
31.25,65,63,0.25,1,16,
31.5,60,60,0.25,1,16,
31.5,69,65,0.5,0,16,c
31.75,65,63,0.25,1,16,
32.0,62,61,0.25,1,17,
32.0,70,66,0.75,0,17,c
32.25,65,63,0.25,1,17,
32.5,58,59,0.25,1,17,
32.75,65,63,0.25,1,17,
32.75,74,68,0.25,0,17,c
33.0,62,61,0.25,1,17,
33.0,77,70,0.5,0,17,c
33.25,65,63,0.25,1,17,
33.5,58,59,0.25,1,17,
33.5,77,70,0.5,0,17,c
33.75,65,63,0.25,1,17,
34.0,57,58,0.25,1,18,
34.0,87,76,0.5,0,18,c
34.25,65,63,0.25,1,18,
34.5,60,60,0.25,1,18,
34.5,81,72,0.5,0,18,c
34.75,65,63,0.25,1,18,
35.0,63,62,0.25,1,18,
35.0,81,72,0.5,0,18,c
35.25,65,63,0.25,1,18,
35.5,60,60,0.25,1,18,
35.5,81,72,0.5,0,18,c
35.75,65,63,0.25,1,18,
36.0,62,61,0.25,1,19,
36.0,82,73,0.75,0,19,c
36.25,65,63,0.25,1,19,
36.5,58,59,0.25,1,19,
36.75,65,63,0.25,1,19,
36.75,86,75,0.25,0,19,c
37.0,62,61,0.25,1,19,
37.0,89,77,0.5,0,19,c
37.25,65,63,0.25,1,19,
37.5,58,59,0.25,1,19,
37.5,65,63,0.5,0,19,c
37.75,65,63,0.25,1,19,
38.0,57,58,0.25,1,20,
38.0,75,69,0.5,0,20,c
38.25,65,63,0.25,1,20,
38.5,60,60,0.25,1,20,
38.5,69,65,0.5,0,20,c
38.75,65,63,0.25,1,20,
39.0,63,62,0.25,1,20,
39.0,69,65,0.5,0,20,c
39.25,65,63,0.25,1,20,
39.5,60,60,0.25,1,20,
39.5,69,65,0.5,0,20,c
